Price,Bedrooms,Bathrooms,Area_sqft,Address
625000,3,2.0,1680,"1842 Maple Ridge Dr, Austin, TX 78745"
419000,2,2.0,1045,"900 W Cesar Chavez St #412, Austin, TX 78701"
875000,4,3.0,2450,"4110 Lakewood Cove, Austin, TX 78731"
512000,3,2.5,1720,"128 Mueller Blvd, Austin, TX 78723"
1149000,5,4.0,3210,"55 Barton Hills Dr, Austin, TX 78704"
2450,2,2.0,980,"2100 Domain Dr #221, Austin, TX 78758"
389000,3,2.0,1410,"902 Delano St, Austin, TX 78721"
299000,1,1.0,712,"1800 Barton Springs Rd #7, Austin, TX 78704"
749000,4,3.0,2288,"3311 Scenic Brook Dr, Austin, TX 78735"
535000,3,2.0,1595,"4702 Duval St, Austin, TX 78751"
3200,3,2.0,1500,"1204 E 12th St, Austin, TX 78702"
895000,6,4.0,2800,"2201 E Cesar Chavez St, Austin, TX 78702"
459000,3,2.0,1522,"8100 Research Blvd, Austin, TX 78758"
2150000,5,5.5,4820,"18 Westlake Dr, Austin, TX 78746"
175000,3,2.0,1210,"Lot 42 Pioneer Trails, Austin, TX 78744"
589000,4,2.0,1890,"1608 Southwood Rd, Austin, TX 78704"
