Enquiry_ID,Destination,Enquiry_Type,Enquiry_Hour,Group_Size,Budget,Latitude,Longitude
E001,Jaipur,Group Tour,22,3,86820,26.857362982470793,75.7322591232538
E002,Ooty,Honeymoon,15,5,54131,11.35305869086751,76.7191421556718
E003,Kerala,Adventure,15,4,74925,9.885174257708524,76.21639199475314
E004,Kerala,Family Tour,19,2,38693,9.852330608835155,76.19098998800663
E005,Ooty,Honeymoon,22,2,28431,11.376943143765635,76.67361789492698
E006,Rajasthan,Honeymoon,19,7,76803,27.038586331017928,74.1453320660352
E007,Ooty,Group Tour,16,7,97313,11.482021685960532,76.76950112529192
E008,Manali,Adventure,16,2,78148,32.196543012099546,77.14726407456416
E009,Jaipur,Solo Travel,20,8,90077,26.89496969721172,75.73645777404609
E010,Jaipur,Adventure,21,6,88953,26.9232320524512,75.71231012679289
E011,Manali,Adventure,19,2,47065,32.302772376068425,77.20436399660977
E012,Rajasthan,Solo Travel,16,6,65591,27.078925415788504,74.25747121762198
E013,Kerala,Adventure,16,4,49099,9.93803137330532,76.20984787599596
E014,Kerala,Family Tour,16,7,12568,9.974759163087466,76.21909450904548
E015,Ooty,Honeymoon,8,8,23986,11.456628086484992,76.71195359596496
E016,Manali,Adventure,16,4,32662,32.29560617244637,77.1806121078621
E017,Goa,Group Tour,10,4,73335,15.45485548687841,73.83759894813562
E018,Ooty,Group Tour,22,6,37266,11.451925607778703,76.70480435161112
E019,Rajasthan,Honeymoon,16,7,97054,26.961542531329894,74.20819384029852
E020,Ooty,Family Tour,11,5,97939,11.475410635828174,76.65488675666381
E021,Kerala,Honeymoon,20,4,65820,9.863516785572607,76.2336602324662
E022,Rajasthan,Solo Travel,9,2,74044,26.991101389734034,74.15477908157284
E023,Jaipur,Solo Travel,19,4,35939,26.975209439758398,75.7935947587065
E024,Manali,Solo Travel,16,7,33776,32.20314115990154,77.21233041928662
E025,Goa,Solo Travel,20,1,19474,15.41201234088499,73.82951956841241
E026,Goa,Group Tour,8,3,23545,15.46491842742458,73.898665552626
E027,Rajasthan,Family Tour,11,1,61005,27.099285133235355,74.29189156719073
E028,Rajasthan,Adventure,10,1,77172,26.989374479100395,74.14380191157673
E029,Goa,Adventure,9,4,10854,15.455483434277857,73.89312254175466
E030,Ooty,Adventure,12,4,36309,11.36892884344184,76.72254168758494
E031,Ooty,Honeymoon,8,7,47157,11.38904530123508,76.71616893289496
E032,Rajasthan,Honeymoon,22,8,32671,27.07744839929428,74.18922481039547
E033,Rajasthan,Group Tour,10,4,12811,27.052210297894767,74.14055405262846
E034,Ooty,Honeymoon,11,8,77270,11.358098628640798,76.72555003809639
E035,Manali,Family Tour,18,4,83656,32.177755763398494,77.25665097892457
E036,Rajasthan,Adventure,10,7,56843,26.97179278833535,74.29504693493271
E037,Jaipur,Solo Travel,8,2,41616,26.847296442848947,75.85085452127254
E038,Kerala,Honeymoon,14,1,17400,9.907073531938027,76.30345290861925
E039,Ooty,Solo Travel,15,6,69040,11.432925063384685,76.62846239439921
E040,Jaipur,Solo Travel,21,3,12557,26.982821350793245,75.86308621388085
E041,Manali,Adventure,9,6,71135,32.31871319401773,77.13684804042838
E042,Jaipur,Family Tour,21,5,96831,26.951838624818887,75.81124126384756
E043,Ooty,Family Tour,8,8,80091,11.411610252294201,76.71681321890973
E044,Rajasthan,Group Tour,10,6,15895,27.044782180159565,74.26506980856666
E045,Rajasthan,Family Tour,19,7,15600,26.975038878047688,74.25349233844184
E046,Ooty,Solo Travel,10,8,83744,11.489328081727574,76.69019112223855
E047,Rajasthan,Group Tour,13,3,42635,26.94627305864462,74.28643097001404
E048,Goa,Group Tour,22,3,76235,15.547381512874777,73.79491182273112
E049,Kerala,Family Tour,10,8,36641,9.940288201993337,76.33708476386573
E050,Manali,Honeymoon,15,6,46631,32.19302699481846,77.21608296269184
